Ticker,Date,Tweetcount,Indicoscore,Textblobscore,Price
XOM,11/10/15,3,0.552708,-0.173333,82.35
UNH,11/13/15,3,0.419947,0,111.41
JPM,11/10/15,3,0.428909,0.166667,67.68
CSCO,12/7/15,3,0.688195,0,27.49
TRV,12/10/15,2,0.623702,-0.0125,110.99
UNH,11/10/15,2,0.496986,0.067614,115.89
MSFT,11/10/15,2,0.610969,0,53.51
UTX,12/8/15,2,0.565757,-0.0125,94.23
MRK,11/10/15,2,0.281195,0.135795,54.43
BA,11/18/15,2,0.262979,0.1125,148.28
GE,11/18/15,2,0.909822,0,30.52
TRV,12/1/15,2,0.435602,0,115.68
CVX,12/7/15,2,0.10546,0.03125,87.28
MCD,11/18/15,2,0.460533,0,112.53
INTC,11/10/15,2,0.465541,-0.05,33.21
GS,11/3/15,2,0.362566,0.183333,190.69
JPM,11/3/15,2,0.454356,0,65.78
GS,12/7/15,2,0.378799,-0.1,185.49
PFE,11/10/15,2,0.579288,0,33.79
UNH,11/11/15,2,0.54049,0,114.54
DD,11/4/15,2,0.754228,0.5875,64.27
TRV,11/24/15,2,0.740845,-0.0125,115.44
JPM,11/18/15,2,0.762264,0,67.45
TRV,12/4/15,2,0.604671,0,114.06
UTX,11/18/15,1,0.809452,0,97.71
